,ruleid,rule,upi,fresp,code,function
36,1,There is a red,yxvfdkoyfy,you can do whatever you want but you just have to stack them up,d,"exists(function(x1) {exists(function(x2) {hor(x1,x2,'stacked')}, X)}, X)"
37,1,There is a red,xbrfrfvylp,red is going to be big and blue is going to be medium and green is going to be small,v,"exists(function(x1) {exists(function(x2) {exists(function(x3) {and(and(and(and(and(equal(x1,'red','colour'), equal(x2,'green','colour')), equal(x3,'blue','colour')),equal(x1,3,'size')), equal(x2,2,'size')), equal(x1,1,'size'))}, X)}, X)}, X)"
38,1,There is a red,azojgnqhin,one has to be on top of each other and there needs to be one that is not touching anything,d,"exists(function(x1) {exists(function(x2) {exists(function(x3){ forall(function(x4) {and(hor(x1,x2,'stacked'), not(hor(x3,x4,'contact')))}, X)}, X)}, X)}, X)"
39,1,There is a red,ncfdqtjgzx,the color red has to be in them,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
40,1,There is a red,zlosupqcpk,there has to be two of the same color they cannot be the same size and the other kova that is a different color has to be touching one of them,d,"exists(function(x1) {exists(function(x2) {exists(function(x3) {and(and(and(equal(x1,x2,'colour'), not(equal(x1,x2,'size'))), not(equal(x1,x3,'colour'))), or(hor(x1,x3,'contact'), hor(x2,x3,'contact')))}, X)}, X)}, X)"
41,1,There is a red,idctlavwmn,there has to be a red one,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
42,1,There is a red,wswqcsomwl,there has to be one kova with another one on it and one another one by side also the kova on top has to be a different color than the one it is on,d,"exactly(function(x1) {exactly(function(x2) {exists(function(x3) {and(and(hor(x1,x2,'stacked'), not(equal(x1,x2,'colour'))), not(hor(x1,x3,'stacked')))}, X)}, 1, X)}, 1, X)"
43,1,There is a red,ocxraeygfp,at least two of the tigs need to touch,d,"exists(function(x1) {exists(function(x2) {hor(x1,x2,'contact')}, X)}, X)"
44,1,There is a red,asqvqojvif,there needs to be a green and a red special block,o,"exists(function(x1) {exists(function(x2) {and(equal(x1,'red','colour'), equal(x2,'green','colour'))}, X)}, X)"
45,1,There is a red,jfzfqqzvmb,one medium pimwit has to be on top of the large pimwit and there has to be one small one to the side not on top,d,"exists(function(x1) {exists(function(x2) {exists(function(x3) {and(and(and(and(equal(x1,3,'size'), equal(x2,2,'size')), equal(x3,1,'size')), hor(x1,x2,'stacked')), not(equal(x1,x3,'xpos')))}, X)}, X)}, X)"
46,1,There is a red,onlemdbnfq,there has to be a block on top of another block and there has to be .either a smaller or bigger block,d,"exists(function(x1) {exists(function(x2) {exists(function(x3) {and(hor(x1,x2,'stacked'), or(not(equal(x1,x3,'size')), not(equal(x2,x3,'size'))))}, X)}, X)}, X)"
47,1,There is a red,aslbalavqe,you need to use red,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
48,2,all are the same size,mesbxrjdpg,there has to be two greens and one red and they have to be the same size,o,"forall(function(x1) {forall(function(x2) {exactly(function(x3) {exactly(function(x4) {and(and(equal(x1,x2,'size'), equal(x3, 'green','colour')), equal(x4,'red','colour'))}, 1, X)}, 2, X)},  X)}, X)"
49,2,all are the same size,zwrcdrrtwi,there cannot be any pimwits if there are one big blue and one medium blue,d,"forall(function(x1) {forall(function(x2) { or(not(and(equal(x1,'blue','colour'), equal(x1,3,'size'))), not(and(equal(x2,'blue','colour'), equal(x2,2,'size')))) }, X)}, X)"
50,2,all are the same size,hibacpjdfh,they can all be the same size and they do not have to be facing the same direction and they can be one two or three,o,"forall(function(x1) {forall(function(x2) {exists(function(x3) {atmost(function(x4) {equal(x1,x2,'size')}, 3, X)},  X)}, X)}, X)"
51,2,all are the same size,ovngoiiqro,you can only put them upright,d,"forall(function(x1) {equal(x1,'upright','orientation')}, X)"
52,2,all are the same size,jafwjckfvc,there has to be two of the same color and the same size and one of a different color and the same size,o,"exactly(function(x1){exists(function(x2){exactly(function(x3){and(and(and(and(equal(x1,x2,'colour'), equal(x1,x2, 'size')), not(equal(x1,x2,'object'))), equal(x1,x3,'size')), not(equal(x1,x3,'colour')))}, 1, X)}, X)}, 2, X)"
53,2,all are the same size,cgilusiyxy,all of them have to be sitting up,d,"forall(function(x1) {equal(x1,'upright','orientation')}, X)"
54,2,all are the same size,wdrpuuyzji,they have to all be the same size,c,"forall(function(x1) {forall(function(x2) {equal(x1,x2,'size')}, X)}, X)"
55,2,all are the same size,yjheaxptzh,they have to all be standing,d,"forall(function(x1) {equal(x1,'upright','orientation')}, X)"
56,2,all are the same size,sgygmhiwae,they all just have to be standing there,d,"forall(function(x1) {equal(x1,'upright','orientation')}, X)"
57,2,all are the same size,lwtvybinkx,there is two of one color and one of one color and two different colors has to sit together on one side and one of the matching colors has to sit on the opposite side,d,"exactly(function(x1) {exists(function(x2) {exactly(function(x3) {and(and(and(equal(x1,x2,'colour'), not(equal(x1,x3,'colour'))), not(equal(x1,x2,'object'))), or( and(less(x1,4,'xpos'),greater(x2,4,'xpos')), and(greater(x1,4,'xpos'),less(x2,4,'xpos')) ))}, 1, X)},  X)}, 2, X)"
58,2,all are the same size,hqdzvryszc,they all have to be the same size,c,"forall(function(x1) {forall(function(x2) {equal(x1,x2,'size')}, X)}, X)"
59,2,all are the same size,dbkujocwxr,do not know,n,
60,2,all are the same size,yrwbanxlsw,they all have to be similar to the example,v,
61,2,all are the same size,arybnplgmd,they each have to be separate but next to each other in some way,v,"forall(function(x1) {forall(function(x2) {not(hor(x1,x2,'contact'))}, X)}, X)"
62,2,all are the same size,veyjvlxish,two have to be next to each other and one far away,d,"atleast(function(x1) {T}, 3, X)"
63,2,all are the same size,zmtqpimofq,they all are supposed to be standing,d,"forall(function(x1) {equal(x1,'upright','orientation')}, X)"
64,2,all are the same size,fyyogkywea,blocks of the same color cannot touch,d,"forall(function(x1) {forall(function(x2) {or(not(hor(x1,x2,'contact')), not(equal(x1,x2,'colour')))}, X)}, X)"
65,2,all are the same size,mkzkmzxgrf,you have to use a lot of the larger ones,d,"atleast(function(x1) {equal(x1,3,'size')}, 2, X)"
66,2,all are the same size,reowfvdqqu,the red has to be right side up,d,"forall(function(x1) {or(and(equal(x1,'red','colour'), equal(x1,'upright','orientation')), not(equal(x1,'red','colour')))}, X)"
67,2,all are the same size,ywlzebnwkb,do not know,n,
68,2,all are the same size,rxnythfslb,they all have to be different some are sideways and some are straight up,d,"forall(function(x1) {forall(function(x2) { exists(function(x3) {and(or(or(not(equal(x1,x2,'size')), not(equal(x1,x2,'colour'))), equal(x1,x2,'object')), not(equal(x3,'upright','orientation')))}, X)}, X)}, X)"
69,2,all are the same size,dhpdbgcmjp,they are not touching and they are all different colors,d,"forall(function(x1) {forall(function(x2) { and(not(hor(x1,x2,'contact')), or(not(equal(x1,x2,'colour')),  equal(x1,x2,'object')))}, X)}, X)"
70,2,all are the same size,umjngnkkko,the yoks have to be straight up,d,"forall(function(x1) {equal(x1,'upright','orientation')}, X)"
71,2,all are the same size,shvmpeoloq,they have to have more than one color and they have to have more than two pieces possibly one has to be pointing up,d,"exists(function(x1) {exists(function(x2) {atleast(function(x3) {not(equal(x1,x2,'colour'))}, 3, X)}, X)}, X)"
72,2,all are the same size,qosdofjwwl,two of one color one of another and they all have to be the same size,o,"forall(function(x1) {forall(function(x2) {exactly(function(x3) {exists(function(x4){exactly(function(x5){and(and(and(equal(x1,x2,'size'), equal(x3,x4, 'colour')), not(equal(x4,x5, 'colour'))), not(equal(x3,x4,'object')))}, 1, X)},  X)}, 2, X)}, X)}, X)"
73,2,all are the same size,djldhhbvei,there needs to be three big ones,u,"atleast(function(x1) {equal(x1,3,'size') }, 3, X)"
74,2,all are the same size,mqxmdwvlai,they all have to be the same size and they all have to be standing up,o,"forall(function(x1) {forall(function(x2) {and(equal(x1,x2,'size'), equal(x1,'upright','orientation'))}, X)}, X)"
75,2,all are the same size,jgruymmhtv,you cannot stack them on top of each other and they all have to be the same size but not the same color,o,"forall(function(x1) {forall(function(x2) {and(equal(x1,x2,'size'), not(hor(x1,x2,'stacked')))}, X)}, X)"
