,ruleid,rule,upi,fresp,code,function
152,4,One is blue,lwtvybinkx,it does not matter what size but they have to be three different colors and two have to be leaning against each other and one has to be on the other side,o,"exists(function(x1){exists(function(x2){exists(function(x3){exists(function(x4){exists(function(x5){and(and(and(equal(x1,'red','colour'),equal(x2,'green','colour')), equal(x3,'blue','colour')), hor(x4,x5,'contact'))}, X)}, X)}, X)}, X)}, X)"
153,4,One is blue,hqdzvryszc,they have to be all the sizes and all the colors,d,"exists(function(x1){exists(function(x2){exists(function(x3){exists(function(x4){exists(function(x5){exists(function(x6){and(and(and(and(and(equal(x1,'red','colour'),equal(x2,'green','colour')), equal(x3,'blue','colour')), equal(x4,1,'size')),equal(x5,2,'size')), equal(x6,3,'size'))}, X)}, X)}, X)}, X)}, X)}, X)"
154,4,One is blue,yrwbanxlsw,there should be at least one color that is different from the others and they all have to be different sizes they do not have to be the same color,d,"exists(function(x1){exists(function(x2){forall(function(x3){forall(function(x4){and(not(equal(x1,x2,'colour')), or(not(equal(x3,x4,'size')), equal(x3,x4,'object')))}, X)}, X)}, X)}, X)"
155,4,One is blue,arybnplgmd,two different colors in weird formations near each other,d,"exists(function(x1){exists(function(x2){not(equal(x1,x2,'colour'))}, X)}, X)"
156,4,One is blue,veyjvlxish,one standing up and one tipping over on the one standing up and then one far away,d,"exists(function(x1){exists(function(x2){and(and(equal(x1,'upright','orientation'), not(equal(x2,'upright','orientation'))), hor(x1,x2, 'contact'))}, X)}, X)"
157,4,One is blue,zmtqpimofq,red and blue are supposed to be together green and blue are supposed to be together and green and red were not supposed to be together,d,"forall(function(x1){forall(function(x2){not(and(equal(x1,'green','colour'), equal(x2,'red','colour')))}, X)}, X)"
158,4,One is blue,fyyogkywea,there needs to be at  least one of the blue blocks,u,"exists(function(x1){equal(x1, 'blue','colour')}, X)"
159,4,One is blue,mkzkmzxgrf,most of them have to be standing up,d,
160,4,One is blue,reowfvdqqu,at least two of them have to be right side up,d,"atleast(function(x1) {equal(x1,'upright','orientation')}, 2, X)"
161,4,One is blue,ywlzebnwkb,to put them apart from each other in a different way,d,
162,4,One is blue,rxnythfslb,three or four blocks,d,"atleast(function(x1) {atmost(function(x2) {T}, 4, X)}, 3, X)"
163,4,One is blue,dhpdbgcmjp,two are touching and others are not,d,"exactly(function(x1){exactly(function(x2){and(not(equal(x1,x2,'object')), hor(x1,x2,'contact'))}, 1, X)}, 1, X)"
164,4,One is blue,shvmpeoloq,there has to be more than one yok and there cannot be multiple of one color,d,"atleast(function(x1) {forall(function(x2){atmost(function(x3){equal(x2,x3,'colour')}, 1, X)}, X)}, 2, X)"
165,4,One is blue,qosdofjwwl,you have to have all three colors and all three sizes,d,"exists(function(x1){exists(function(x2){exists(function(x3){exists(function(x4){exists(function(x5){exists(function(x6){and(and(and(and(and(equal(x1,'red','colour'),equal(x2,'green','colour')),equal(x3,'blue','colour')),equal(x4,1,'size')),equal(x5,2,'size')), equal(x6,3,'size'))}, X)}, X)}, X)}, X)}, X)}, X)
 "
166,4,One is blue,qbtjvqcoju,they have to be straight up the other ones next to them have to be sideways,d,
167,4,One is blue,djldhhbvei,one of each color,o,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(equal(x1,'red','colour'),equal(x2,'green','colour')),equal(x3,'blue','colour'))}, X)}, X)}, X)
 "
168,4,One is blue,wtoxeowgar,there has to be two touching and one standing but the one standing can have one on top instead of the one that is touching the other one on the ground,d,
169,4,One is blue,mqxmdwvlai,there cannot be any green and some have to be facing straight up and some have to be on the ground sideways,d,"forall(function(x1){exists(function(x2){exists(function(x3){and(and(not(equal(x1,'green','colour')), equal(x2,'upright','orientation')), not(equal(x3, 'upright','orientation')))}, X)}, X)}, X)"
170,4,One is blue,jgruymmhtv,you cannot put a block on top of another block,d,"forall(function(x1){forall(function(x2){not(hor(x1,x2,'stacked'))}, X)}, X)"
171,4,One is blue,alyxzksgke,there has to be three blocks and one has to be leaning on a block,d,"exactly(function(x1){exists(function(x2){exists(function(x3){hor(x2,x3,'contact')}, X)}, X)}, 3, X)"
172,4,One is blue,guldlbnobg,color    ,v,
173,4,One is blue,kgelyqjiet,there has to be one for each size no more than two of the same size,d,"exists(function(x1){exists(function(x2){exists(function(x3){atmost(function(x4){atmost(function(x5){and(and(and(and(equal(x1,1,'size'),equal(x2,2,'size')),equal(x3,3,'size')), equal(x4,x5,'size')), not(equal(x4,x5,'object')))}, 1, X)}, 1, X)}, X)}, X)}, X)
 "
174,4,One is blue,hxdomhiend,two or more wonky,d,"atleast(function(x1){not(equal(x1,'upright','orientation'))}, 2, X)"
175,4,One is blue,tdozurlsah,one of the tigs are touching another tig,d,"exists(function(x1){exists(function(x2){hor(x1,x2,'contact')}, X)}, X)"
176,4,One is blue,ciwzlkkruo,only different colors,d,"forall(function(x1){forall(function(x2){or(equal(x1,x2,'object'), not(equal(x1,x2,'colour')))}, X)}, X)"
177,4,One is blue,ojeosgkrxi,all of them can be random,d,"forall(function(x1){T}, X)"
178,4,One is blue,yxvfdkoyfy,it should not be in a pattern with the exact same colors,d,
179,4,One is blue,xbrfrfvylp,do not put just one on the screen,d,"atleast(function(x1){T}, 2, X)"
180,4,One is blue,azojgnqhin,at least two of the blocks should be touching and one should be left alone,d,"exists(function(x1){exists(function(x2){exists(function(x3){forall(function(x4){and(hor(x1,x2,'contact'), not(hor(x3,x4,'contact')))}, X)}, X)}, X)}, X)"
181,4,One is blue,ncfdqtjgzx,at least two or three different colors and two or three sizes,d,"exists(function(x1){exists(function(x2){exists(function(x3){exists(function(x4){and(not(equal(x1,x2,'colour')), not(equal(x3,x4,'size')))}, X)}, X)}, X)}, X)"
182,4,One is blue,zlosupqcpk,each of the yoks has to be a different color and it does not matter what size they are,d,"forall(function(x1){forall(function(x2){or(not(equal(x1,x2,'colour')), equal(x1,x2,'object'))}, X)}, X)"
183,4,One is blue,idctlavwmn,there has to be a purple and a red one touching each other,d,"exists(function(x1){exists(function(x2){and(and(equal(x1,'red','colour'), equal(x2, 'red','colour')), hor(x1,x2,'contact'))}, X)}, X)"
184,4,One is blue,wswqcsomwl,there has to be a tig that is either medium or large facing upward and one that is one level smaller than the first one,d,"exists(function(x1){exists(function(x2){and(and(grequal(x1,2, 'size'),equal(x1,'upright','orientation')), lequal(x2,x1,'size'))}, X)}, X)"
185,4,One is blue,ocxraeygfp,all three of the colors have to be in the picture or touching,u,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(equal(x1,'red','colour'),equal(x2,'green','colour')),equal(x3,'blue','colour'))}, X)}, X)}, X)
 "
186,4,One is blue,asqvqojvif,you always need a blue red and green colored block,u,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(equal(x1,'red','colour'),equal(x2,'green','colour')),equal(x3,'blue','colour'))}, X)}, X)}, X)
 "
187,4,One is blue,jfzfqqzvmb,a large has to be leaning over one medium,d,"exists(function(x1){exists(function(x2){and(and(and(and(equal(x1,3,'size'), equal(x2,2,'size')),hor(x1,x2,'contact' )), not(equal(x1,'upright','orientation'))), equal(x2,'upright','orientation'))}, X)}, X)
 "
188,4,One is blue,onlemdbnfq,they have to be touching each other and they have to lean towards each other and another one has to stand separately,d,
189,4,One is blue,aslbalavqe,you cannot use the same color of blocks twice,u,"atmost(function(x1) {exists(function(x2) {and(equal(x1,x2,'colour'), not(equal(x1,x2,'object')))},  X)}, 1, X)"
190,5,There is a small blue,vcbkdskksk,i think there has to be a certain type of color with a certain type of color,v,
191,5,There is a small blue,mesbxrjdpg,there has to be at least one green and one blue,u,"exists(function(x1){exists(function(x2){and(equal(x1,'red','colour'),equal(x2,'green','colour'))}, X)}, X)
 "
192,5,There is a small blue,zwrcdrrtwi,it has to have at least one small triangle,u,"exists(function(x1){equal(x1,1,'size')}, X)"
193,5,There is a small blue,hibacpjdfh,they have to be stacked and they cannot be the same size when they are stacked,d,"exists(function(x1){exists(function(x2){and(hor(x1,x2,'stacked'), not(equal(x1,x2,'size')))}, X)}, X)"
194,5,There is a small blue,ovngoiiqro,i dont know,n,
195,5,There is a small blue,jafwjckfvc,a blue block has to be at least partially covered,u,"exists(function(x1){equal(x1,'blue','colour')}, X)"
196,5,There is a small blue,blrcjyghdb,all of them have to be facing one direction,d,"forall(function(x1){forall(function(x2){equal(x1,x2,'orientation')}, X)}, X)"
197,5,There is a small blue,cgilusiyxy,there has to be eight of them and two of them have to be leaning,d,"exactly(function(x1){exactly(function(x2){not(equal(x2,'upright','orientation'))},2, X)}, 8,X)"
198,5,There is a small blue,wdrpuuyzji,there has to be one that is on top of another and there has to be one of a medium and one of a different color medium size and one of the first medium size color but small,d,"exists(function(x1){exists(function(x2){exists(function(x3){exists(function(x4){exists(function(x5){and(and(and(and(and(hor(x1,x2,'stacked'), equal(x3,2,'size')), equal(x4,2,'size')), equal(x5,1,'size')), equal(x3,x5,'colour')), not(equal(x3,x5,'colour')))}, X)}, X)}, X)}, X)}, X)"
199,5,There is a small blue,yjheaxptzh,there cannot be five blocks,d,"not(exactly(function(x1){T}, 5, X))"
200,5,There is a small blue,sgygmhiwae,one of them has to be inside the other and three of them can be anywhere except on the other ones,d,"exists(function(x1){exists(function(x2){exactly(function(x3){forall(function(x4){and(hor(x1,x2,'insobjecte'), not(hor(x3,x4,'stacked')))}, X)}, 3, X)}, X)}, X)"
201,5,There is a small blue,lwtvybinkx,one bigger tig has to be on top of a smaller tig and there has to be as many tigs on the side as you would like and at least one has to be a different color,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(hor(x1,x2,'stacked'), not(equal(x3,x1,'colour'))), not(equal(x3,x2,'colour')))}, X)}, X)}, X)
 "
202,5,There is a small blue,hqdzvryszc,there had to be a green triangle and then a smaller triangle inside of that,d,"exists(function(x1){exists(function(x2){and(equal(x1,'green','colour'), hor(x2,x1,'inside'))}, X)}, X)"
203,5,There is a small blue,arybnplgmd,one has to be on top of it the others can just lie there,d,
204,5,There is a small blue,veyjvlxish,they have to be next to each other or on top of each other,d,
205,5,There is a small blue,zmtqpimofq,one smaller than the one you used I think you need to have a small one at the corner or only use green and blue,d,"exists(function(x1){forall(function(x2){or(equal(x1,1,'size'), not(equal(x2,'red','colour')))}, X)}, X)"
206,5,There is a small blue,fyyogkywea,it needs at least one of the small blue blocks,c,"atleast(function(x1){and(equal(x1,1, 'size'), equal(x1,'blue','colour'))},1, X)"
207,5,There is a small blue,mkzkmzxgrf,there has to be one of the smaller blue triangles,c,"exists(function(x1){and(equal(x1,1, 'size'), equal(x1,'blue','colour'))}, X)"
208,5,There is a small blue,reowfvdqqu,the greens have to be on top of each other,d,"forall(function(x1){forall(function(x2){or(or(or(hor(x1,x2,'stacked'), hor(x2,x1,'stacked')), not(equal(x1,'green','colour'))), not(equal(x2,'green','colour')))}, X)}, X)"
209,5,There is a small blue,ywlzebnwkb,keep all of the pimwits straight,d,"forall(function(x1) {equal(x1,'upright','orientation')}, X)"
210,5,There is a small blue,rxnythfslb,to face them the right way,d,
211,5,There is a small blue,dhpdbgcmjp,one is overlapping another and others are not touching,d,"exists(function(x1){exists(function(x2){forall(function(x3){forall(function(x4){and(hor(x1,x2,'overlap'), or(or(or(or(or(not(hor(x3,x4,'contact')), equal(x3,x4,'object')), equal(x3,x1,'object')), equal(x4,x1,'object')), equal(x3,x2,'object')), equal(x4,x2,'object')))}, X)}, X)}, X)}, X)"
212,5,There is a small blue,umjngnkkko,they all can face the right way there can be three big ones and three little ones on top of the big ones,d,"exactly(function(x1){exactly(function(x2){and(and(equal(x1,3,'size'), equal(x2,1,'size')), hor(x2,x1,'stacked'))}, 3, X)}, 3, X)"
213,5,There is a small blue,shvmpeoloq,there has to be one small blue piece there has to be more than one piece,o,"exists(function(x1){atleast(function(x2){and(equal(x1,1,'size'), equal(x1,'blue','colour'))}, 2, X)}, X)"
214,5,There is a small blue,qosdofjwwl,there cannot be more than one of a kind,d,"atmost(function(x1) {exists(function(x2) {and(and(equal(x1,x2,'colour'),equal(x1,x2,'size')), not(equal(x1,x2,'object')))},  X)}, 1, X)"
215,5,There is a small blue,djldhhbvei,there needs to be a green and a blue that is not touching,d,"exists(function(x1){exists(function(x2){and(and(equal(x1,'blue','colour'), equal(x2,'green','colour')), not(hor(x1,x2,'contact')))}, X)}, X)"
216,5,There is a small blue,wtoxeowgar,there has to be one tig that is piled on top of another tig and at least two other tigs that are not and they all have to be standing up,d,"forall(function(x1){exactly(function(x2){exactly(function(x3){atleast(function(x4){and(hor(x1,x2,'stacked'), equal(x3,'upright','orientation'))},2,X)},1,X)}, 1, X)},X)"
217,5,There is a small blue,mqxmdwvlai,one block stacked on top of another and some other blocks,d,"exists(function(x1){exists(function(x2){atleast(function(x3){and(and(hor(x1,x2,'stacked'), not(equal(x3,x1,'object'))), not(equal(x3,x2,'object')))},2,X)}, X)}, X)"
218,5,There is a small blue,jgruymmhtv,at least one of the blocks is stacked on each other but not the same color as the one it is stacked on,d,"exists(function(x1){exists(function(x2){and(hor(x1,x2,'stacked'), not(equal(x1,x2,'colour')))}, X)}, X)"
219,5,There is a small blue,alyxzksgke,two same color but different sizes the bigger size has to be on top of the small one and the same color but a different size and a different color but the same size as the ones that are not on top of each other,d,"exists(function(x1){exists(function(x2){and(and(hor(x1,x2,'stacked'), equal(x1,x2,'colour')), greater(x1,x2,'size'))}, X)}, X)"
220,5,There is a small blue,guldlbnobg,there is patterns for each one,d,
221,5,There is a small blue,kgelyqjiet,there has to be five tigs,d,"exactly(function(x1){T}, 5, X)"
222,5,There is a small blue,hxdomhiend,to have four or more,d,"atleast(function(x1){T}, 4, X)"
223,5,There is a small blue,tdozurlsah,there sometimes needs to be one that is opened,d,
224,5,There is a small blue,ciwzlkkruo,only vertical and upside down,d,"forall(function(x1){or(equal(x1,'upright','orientation'), equal(x1,'strange','orientation'))}, X)"
225,5,There is a small blue,yxvfdkoyfy,you have to figure out how to make the kovas work,n,
226,5,There is a small blue,xbrfrfvylp,you get two colors but they are different and you get two other colors but they have to be different sizes,d,"exists(function(x1){exists(function(x2){and(not(equal(x1,x2,'size')),not(equal(x1,x2,'colour')))}, X)}, X)"
227,5,There is a small blue,azojgnqhin,two of them have to be next to each other and the others do not touch,d,
228,5,There is a small blue,ncfdqtjgzx,octopus idk how to do dis,n,
229,5,There is a small blue,zlosupqcpk,three of the pimwits have to be the same color but they cannot all be the same size and you need two other pimwits that are the same color but different sizes,d,"exactly(function(x1){exists(function(x2){exactly(function(x3){exists(function(x4){and(and(and(and(and(and(equal(x1,x2,'colour'), not(equal(x1,x2,'size'))), not(equal(x1,x2,'object'))), equal(x3,x4,'colour')), not(equal(x3,x4,'object'))), not(equal(x3,x4,'size'))), not(equal(x3,x1,'object')))}, X)},2,X)}, X)}, 3, X)"
230,5,There is a small blue,idctlavwmn,there has to be one inside of one and it has to be standing upright and there has to be another one near it that is also standing upright,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(and(and(equal(x1,'upright','orientation'), equal(x2,'upright','orientation')), not(equal(x1,x2,'object'))), hor(x3,x1,'insobjecte')), not(equal(x3,x2,'object')))}, X)}, X)}, X)"
231,5,There is a small blue,wswqcsomwl,there has to be one smaller pimwit inside of another with two or three other ones,d,"exactly(function(x1){exists(function(x2){atleast(function(x3){atmost(function(x4){and(greater(x2,x1,'size'), hor(x1,x2,'inside'))}, 5, X)}, 4, X)}, X)}, 1, X)"
232,5,There is a small blue,dovkssrwtq,there has to be a big triangle with a small triangle inside of it and two medium sized triangles and two small triangles and the colors do not matter,d,"exactly(function(x1){exactly(function(x2){exactly(function(x3){exactly(function(x4){and(and(and(and(equal(x1,3,'size'), equal(x2,1,'size')), equal(x3, 2, 'size')), hor(x4,x1,'inside')), equal(x4,1,'size'))}, 1, X)}, 2, X)}, 3, X)}, 1, X)"
233,5,There is a small blue,ocxraeygfp,two kovas need to be touching each other and there needs to be one small block,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(hor(x1,x2,'contact'), equal(x3,1,'size'))}, X)}, X)}, X)"
234,5,There is a small blue,hcpsmvwzlp,there has to be three of one color,d,"exactly(function(x1){exists(function(x2){and(equal(x1,x2,'colour'), not(equal(x1,x2,'object')))}, X)}, 3, X)"
235,5,There is a small blue,asqvqojvif,there has to be more than three of them,d,"atleast(function(x1){T},3, X)"
236,5,There is a small blue,jfzfqqzvmb,at least two or more have to be stacked and at least one has to be separate,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(hor(x1,x2,'stacked'), not(equal(x3,x1,'object'))), not(equal(x3,x2,'object')))}, X)}, X)}, X)"
237,5,There is a small blue,onlemdbnfq,there has to be a block on top of a block and two different color medium sized blocks and one small block,d,"exists(function(x1){exists(function(x2){exactly(function(x3){exists(function(x4){exists(function(x5){and(and(and(and(hor(x1,x2,'stacked'), equal(x3, 2, 'size')), equal(x3,x4,'size')), not(equal(x3,x4,'colour'))), equal(x5,1,'size'))}, X)}, X)},2,X)}, X)}, X)"
238,5,There is a small blue,aslbalavqe,there always has to be a smaller cube inside of a bigger cube and also if you lay two cubes down they cannot be facing each other,d,"exists(function(x1){exists(function(x2){forall(function(x3){forall(function(x4){and(and(less(x1,x2,'size'), hor(x1,x2,'inside')), or(not(hor(x3,x4,'pointing')), not(hor(x4,x3,'pointing'))))}, X)}, X)}, X)}, X)"
239,1,There is a red,cbkluyqyam,must contain more than two colors including red.,o,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(equal(x1,'red','colour'),equal(x2,'green','colour')),equal(x3,'blue','colour'))}, X)}, X)}, X)
 "
240,1,There is a red,cvtwudraqm,I do not know the rule,n,
241,1,There is a red,vlockciwzp,There has to be at least two reds and one green,o,"atleast(function(x1){exactly(function(x2){and(equal(x1,'red','colour'), equal(x2,'green','colour'))}, 1, X)}, 2, X)"
242,1,There is a red,kgbijmrczj,Just has to have a red one somewhere.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
243,1,There is a red,vcuqgjegsa,Yoks must have at least one red and one green of any size.,o,"atleast(function(x1){atleast(function(x2){and(equal(x1,'red','colour'), equal(x2,'green','colour'))}, 1, X)}, 1, X)"
244,1,There is a red,bhdujwkcbn,Must contain red of any size,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
245,1,There is a red,pvydutloyc,There must be at least one red pimwit.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
246,1,There is a red,oppkyacsnu,The yoks make stars if there is at least one red block.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
247,1,There is a red,diwvecfaqr,There must be green and red colors touching each other,o,"exists(function(x1){exists(function(x2){and(and(equal(x1,'red','colour'), equal(x2,'green','colour')), hor(x1,x2,'contact'))}, X)}, X)"
248,1,There is a red,xgkqtbnuol,Any cones stacked vertically atop each other as long as its not more than 2 of the same color in the stack.,d,"exists(function(x1){exists(function(x2){atmost(function(x3){and(hor(x1,x2,'stacked'), and(hor(x1,x3,'stacked'), equal(x1,x3,'colour')))}, 2, X)}, X)}, X)"
249,1,There is a red,gfskfcekgs,I believe the rule is that there must be at least one green and one red object,o,"atleast(function(x1){atleast(function(x2){and(equal(x1,'red','colour'), equal(x2,'green','colour'))}, 1, X)}, 1, X)"
250,1,There is a red,ueeodbekmp,A pimwit must contain at least two red blocks.,o,"atleast(function(x1){equal(x1,'red','colour')}, 2, X)"
251,1,There is a red,qqvfwssvmb,There must be at least one red block.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
252,1,There is a red,pcebewminm,when there is any two block facing in same direction,d,"exactly(function(x1){exists(function(x2){and(equal(x1,x2,'orientation'), not(equal(x1,x2,'object')))}, X)}, 2, X)"
253,1,There is a red,cmnvimzjrf,There must be at least one red block.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
254,1,There is a red,eprumtunkk,Any two different color shapes,d,"exists(function(x1){exists(function(x2){not(equal(x1,x2,'colour'))}, X)}, X)"
255,1,There is a red,garvmmwjwh,"I think that in for bemmies, stars come out as long as there is a red one the picture. I thought the rule was that they had to be stacked, but I think it was just having a red one in the picture that did it. ",c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
256,1,There is a red,oozefhavib,I think if there is a figure inside the red figure stars will come out,o,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
257,1,There is a red,psbaqbrwjt,At least 1 red object,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
258,1,There is a red,wsuhwfjzbr,There needs to be at least one red block.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
259,1,There is a red,aezlpkseyg,two on top of each other and one turned sideways.,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(hor(x1,x2,'stacked'), or(equal(x3,'lhs','orientation'), equal(x3, 'rhs','orientation')))}, X)}, X)}, X)"
260,1,There is a red,uizgidkvdm,Stars seem to come out of the tigs if there is at least one red tig.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
261,1,There is a red,nvnrkksmit,One symbol on side and a red in the block,o,"exists(function(x1){exists(function(x2){and(equal(x1,'red','colour'), or(equal(x2,'lhs','orientation'), equal(x2, 'rhs','orientation')))}, X)}, X)"
262,1,There is a red,walbpcrtau,There should be at least one large red item.,o,"exists(function(x1) {and(equal(x1, 'red', 'colour'), equal(x1, 3, 'size'))}, X)"
263,1,There is a red,toafksdbom,There has to be at least one kova of any size. ,u,"exists(function(x1) {T}, X)"
264,1,There is a red,xcmvwgxolf,there needs to be one red piece,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
265,1,There is a red,agkyeueoas,There must be at least one red block in the set for the stars to come out.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
266,1,There is a red,grvepgozqb,Stars will come out when a red kovas is present.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
267,1,There is a red,hccfdfsuum,only one block has to be small,d,
268,1,There is a red,geopmvlndi,I think there has to be at least 1 red pimwit in order for it to work.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
269,1,There is a red,zbggjxcvuu,a larger one over top of a smaller one,d,"exists(function(x1){exists(function(x2){and(hor(x1,x2,'stacked'), greater(x1,x2,'size'))}, X)}, X)"
270,1,There is a red,iadryrexqo,"I think that tigs show a star if there is at least one red object of any size, regardless if its on its side or upright and regardless of how many other non-red objects there are.",c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
271,1,There is a red,vltlpgocqb,A red block has to be touching another block,o,"exists(function(x1){exists(function(x2){and(hor(x1,x2,'contact'), equal(x1,'red','colour'))}, X)}, X)"
272,1,There is a red,hxgoohdfvi,Stars will come out if any color or amount of block as long as at least two are touching each other.,d,"exists(function(x1){exists(function(x2){hor(x1,x2,'contact')}, X)}, X)"
273,1,There is a red,conmvlhlgo,Blocks of different colors must be touching.,d,"exists(function(x1){exists(function(x2){and(hor(x1,x2,'contact'), not(equal(x1,x2,'colour')))}, X)}, X)"
274,1,There is a red,mznmogndzw,You have to have one color on top of the other and have one red standing on its short side not the long sides. There can be any color on top of each other. The size can be any size as long as there is a red one standing up right pointing up with nothing on top of it.,o,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(hor(x1,x2,'contact'), not(equal(x1,x2,'colour'))), equal(x3, 'red','colour'))}, X)}, X)}, X)"
275,1,There is a red,rlthgmsegt,It seemed like I had to have a larger shape for the stars to come out. At least one larger shape was needed and the positioning did not matter,d,"exists(function(x1) {equal(x1, 3, 'size')}, X)"
276,1,There is a red,xefdssuqsx,I think the rule is that the pimwit will work when there is any red triangle (no matter the size or position of it).,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
277,1,There is a red,mikejpbltc,As long as you have a red yok then stars will come out of them. ,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
278,1,There is a red,wxghchdwtc,I do not know.,n,
279,1,There is a red,rzrpjzwpua,There has to be a red triangle in the scene,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
280,1,There is a red,zblqdccjyg,At least 2 kovas are stacked on eachother and both red and green kovas are in the picture. ,o,"exists(function(x1){exists(function(x2){exists(function(x3){exists(function(x4){and(and(and(hor(x1,x2,'stacked'), greater(x1,x2,'size')), equal(x3,'green','colour')), equal(x4,'red','colour'))}, X)}, X)}, X)}, X)"
281,1,There is a red,nsycrlsseg,there is at least one red triangle.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
282,1,There is a red,qoggilfnyb,i dont know,n,
283,1,There is a red,azkqsplqvx,The only rule here (I think) is that there have to be at least two different colored blocks.,d,"exists(function(x1){exists(function(x2){ not(equal(x1,x2,'colour'))}, X)}, X)"
284,1,There is a red,gxdhieftck,There must be at least one green block and one red block,o,"exists(function(x1){exists(function(x2){and(equal(x1,'green','colour'), equal(x2,'red','colour'))}, X)}, X)"
285,1,There is a red,zvqbvbzaox,There needs to be a red triangle.,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
286,1,There is a red,fwbgjmzbof,There must be at least one red block,c,"exists(function(x1) {equal(x1, 'red', 'colour')}, X)"
287,1,There is a red,rdsmyidehb,Make your designs lay on the ground as neatly as you can to keep the stars from coming out.,u,
288,2,All are the same size,cbkluyqyam,must contain at least three blocks.,d,"atleast(function(x1){T}, 3, X)"
289,2,All are the same size,cvtwudraqm,When there are i cone from each color of the same size,o,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(and(and(equal(x1,'red','colour'), equal(x2,'green','colour')), equal(x3,'blue','colour')), equal(x1,x2,'size')), equal(x1,x3,'size'))}, X)}, X)}, X)"
290,2,All are the same size,vlockciwzp,I think the rule is that there has to be two green ones and one of another color,d,"exactly(function(x1){exactly(function(x2){and(equal(x1,'greeen','colour'), not(equal(x1,x2,'colour')))}, 1, X)}, 2, X)"
291,2,All are the same size,kgbijmrczj,"As long as there is a box of one color, it seems the stars will come out.",u,
292,2,All are the same size,vcuqgjegsa,Bemmies must have two greens and one red of any size.,d,"exactly(function(x1){exactly(function(x2){and(equal(x1,'green','colour'), equal(x2,'red','colour'))}, 1, X)}, 2, X)"
293,2,All are the same size,bhdujwkcbn,2 large green items,d,"exactly(function(x1){and(equal(x1,3,'size'), equal(x1,'green','colour'))}, 2, X)"
294,2,All are the same size,pvydutloyc,There must be at least one red bemmie.,d,"atleast(function(x1) {equal(x1, 'red', 'colour')}, 1, X)"
295,2,All are the same size,oppkyacsnu,The bemmies make stars only if they are all the same size.,c,"forall(function(x1){forall(function(x2){equal(x1,x2,'size')}, X)}, X)"
296,2,All are the same size,diwvecfaqr,must have green and red colors,d,"exists(function(x1){exists(function(x2){and(equal(x1,'greeen','colour'), equal(x2,'red','colour'))},  X)},  X)"
297,2,All are the same size,xgkqtbnuol,"Two cones of one color, and one of another, standing vertically.",d,"exactly(function(x1){exactly(function(x2){forall(function(x3){and(equal(x3,'upright','orientation'), not(equal(x1,x2,'colour')))}, X)}, 1, X)}, 2, X)"
298,2,All are the same size,gfskfcekgs,I believe they all have to be the same size,c,"forall(function(x1){forall(function(x2){equal(x1,x2,'size')}, X)}, X)"
299,2,All are the same size,ueeodbekmp,There must be one block of the same size of two different colors. One of the matching blocks must not be inside another block. ,o,"exactly(function(x1){exactly(function(x2){ and(and(and(equal(x1,x2,'size'), not(equal(x1,x2,'colour'))), not(hor(x1,x2,'inside'))), not(hor(x2,x1,'inside')))}, 1, X)}, 1, X)"
300,2,All are the same size,qqvfwssvmb,all of the blocks must be of the same size.,c,"forall(function(x1){forall(function(x2){equal(x1,x2,'size')}, X)}, X)"
301,2,All are the same size,pcebewminm,"when all are small block
when there is two blue block",m,"forall(function(x1){equal(x1,1,'size')}, X)"
